time,unit_impulse,unit_step,rectangular_pulse,sine_wave,cosine_wave,square_wave,triangular_wave,sawtooth_wave,exponential_decay,complex_exponential_real,complex_exponential_imag,gaussian_pulse,sinc_function,chirp_signal,white_noise,impulse_train
0.659,0.0,1.0,0.0,0.9602936856769427,-0.27899110603923033,1.0,0.17999999999999972,-0.41000000000000014,1.887985821628181e-06,-0.27899110603923033,0.9602936856769427,0.006369718512085283,0.8417640700572503,0.85610765497202,-0.25251644049736127,0.0
0.66,0.0,1.0,0.0,0.9510565162951539,-0.3090169943749467,1.0,0.20000000000000107,-0.39999999999999947,1.8506011975819048e-06,-0.3090169943749467,0.9510565162951539,0.005976022895005943,0.8398685183385703,0.8799140743296112,-1.4524409084804957,0.0
0.661,0.0,1.0,0.0,0.9408807689542252,-0.33873792024529215,1.0,0.22000000000000064,-0.3899999999999997,1.8139568386896763e-06,-0.33873792024529215,0.9408807689542252,0.005604418357058429,0.8379635632166255,0.901705189805064,1.1345060408582934,0.0
0.662,0.0,1.0,0.0,0.9297764858882518,-0.36812455268467686,1.0,0.2400000000000002,-0.3799999999999999,1.7780380867193375e-06,-0.36812455268467686,0.9297764858882518,0.005253819200985387,0.8360492488984638,0.9214275474441023,-2.3597695002611894,0.0
0.663,0.0,1.0,0.0,0.9177546256839809,-0.397147890634781,1.0,0.26000000000000156,-0.3699999999999992,1.7428305736911769e-06,-0.397147890634781,0.9177546256839809,0.004923183031710876,0.8341256197962688,0.9390323375721823,-1.27979676983618,0.0
0.664,0.0,1.0,0.0,0.9048270524660187,-0.4257792915650745,1.0,0.28000000000000114,-0.35999999999999943,1.7083202161305406e-06,-0.4257792915650745,0.9048270524660187,0.004611509662433043,0.832192720526122,0.954475525007082,0.5261427748600965,0.0
0.665,0.0,1.0,0.0,0.8910065241883678,-0.45399049973954686,1.0,0.3000000000000007,-0.34999999999999964,1.674493209434266e-06,-0.45399049973954686,0.8910065241883678,0.004317840007633078,0.8302505959067592,0.9677179687728972,-0.8290136755915732,0.0
0.666,0.0,1.0,0.0,0.8763066800438628,-0.48175367410171677,1.0,0.3200000000000003,-0.33999999999999986,1.641336022348639e-06,-0.48175367410171677,0.8763066800438628,0.004041254966394719,0.828299290958322,0.9787255309753398,-0.2889165375040075,0.0
0.667,0.0,1.0,0.0,0.8607420270039438,-0.5090414157503711,1.0,0.33999999999999986,-0.33000000000000007,1.6088353915567235e-06,-0.5090414157503711,0.8607420270039438,0.0037808742992408344,0.8263388509011029,0.9874691745214365,1.0979654735333355,0.0
0.668,0.0,1.0,0.0,0.8443279255020144,-0.5358267949789978,1.0,0.3600000000000012,-0.3199999999999994,1.5769783163728552e-06,-0.5358267949789978,0.8443279255020144,0.0035358555015075756,0.8243693211542866,0.9939250493907514,-0.09832930685765587,0.0
